Entidad federativa,Año,Trimestre, Tasa de desocupacion,Población Económicamente Activa (PEA). Total,Población desocupada. Total
Guerrero,2011,4,2.1,1474825,31387
Hidalgo,2011,4,4.2,1118479,46707
Jalisco,2011,4,5.3,3469069,183441
México,2011,4,6.0,6969793,415542
Michoacán de Ocampo,2011,4,2.9,1853718,53297
Morelos,2011,4,2.7,800395,21472
Nayarit,2011,4,5.2,511957,26771
Nuevo León,2011,4,5.5,2264278,124345
Oaxaca,2011,4,2.9,1695676,49165
Puebla,2011,4,4.3,2608697,111020
Querétaro,2011,4,5.3,773975,40664
Quintana Roo,2011,4,4.2,707912,29984
San Luis Potosí,2011,4,3.3,1044239,34937
Sinaloa,2011,4,4.5,1294791,58578
Sonora,2011,4,6.1,1263018,77019
Tabasco,2011,4,6.1,956138,57982
Tamaulipas,2011,4,6.8,1529566,103544
Tlaxcala,2011,4,5.8,511982,29933
Veracruz de Ignacio de la Llave,2011,4,3.2,3142520,101086
Yucatán,2011,4,2.5,961324,23670
Zacatecas,2011,4,6.1,622263,38061
Nacional,2012,4,4.9,51317999,2495728
Aguascalientes,2012,4,6.0,520994,31295
Baja California,2012,4,5.9,1512675,88900
Baja California Sur,2012,4,5.6,343753,19145
Campeche,2012,4,2.1,404822,8529
Coahuila de Zaragoza,2012,4,5.6,1282325,72172
Colima,2012,4,4.8,344603,16568
Chiapas,2012,4,2.5,1897400,47367
Chihuahua,2012,4,5.8,1517276,87609
Ciudad de México,2012,4,6.1,4470040,270661
Durango,2012,4,5.5,718467,39794
Guanajuato,2012,4,5.6,2473548,138177
Guerrero,2012,4,2.8,1391164,39069
Hidalgo,2012,4,5.3,1174639,61843
Jalisco,2012,4,5.4,3454205,185213
México,2012,4,5.8,7099226,408702
Michoacán de Ocampo,2012,4,4.1,1885496,77472
Morelos,2012,4,4.2,803846,33482
Nayarit,2012,4,6.1,540494,33001
Nuevo León,2012,4,5.4,2308619,124806
Oaxaca,2012,4,2.6,1672753,43291
Puebla,2012,4,4.2,2603161,108298
Querétaro,2012,4,5.8,754137,43622
Quintana Roo,2012,4,4.3,713671,30899
San Luis Potosí,2012,4,3.1,1105769,34245
Sinaloa,2012,4,4.7,1324241,62457
Sonora,2012,4,6.2,1253737,77196
Tabasco,2012,4,5.7,919467,52787
Tamaulipas,2012,4,6.1,1510118,92741
Tlaxcala,2012,4,5.9,529415,31398
Veracruz de Ignacio de la Llave,2012,4,2.5,3209734,79425
Yucatán,2012,4,2.3,963909,22273
Zacatecas,2012,4,5.4,614295,33291
Nacional,2013,4,4.6,52370886,2425287
Aguascalientes,2013,4,5.9,539578,31680
Baja California,2013,4,5.1,1555422,79403
Baja California Sur,2013,4,5.1,355413,17954
Campeche,2013,4,2.1,401356,8254
Coahuila de Zaragoza,2013,4,5.0,1319979,66360
Colima,2013,4,5.0,357271,17824
Chiapas,2013,4,3.6,1956349,69684
Chihuahua,2013,4,4.4,1532475,67787
Ciudad de México,2013,4,5.4,4429488,239573
Durango,2013,4,5.6,732490,41014
Guanajuato,2013,4,5.2,2517481,129867
Guerrero,2013,4,2.7,1413436,38710
Hidalgo,2013,4,5.0,1205244,59840
Jalisco,2013,4,5.1,3525624,178247
México,2013,4,5.1,7295121,369524
Michoacán de Ocampo,2013,4,4.4,1937004,84617
Morelos,2013,4,4.3,826041,35438
Nayarit,2013,4,5.2,554195,28749
Nuevo León,2013,4,4.7,2298389,108869
